,flow,category,amount
139,Beryllium,"('air', 'non-urban air or from high stacks')",1.9698097359827254e-11
140,"Methane, tetrachloro-, R-10","('air',)",3.609433863557853e-14
141,"Pesticides, unspecified","('soil', 'agricultural')",2.924295772448169e-11
142,Organic carbon,"('soil',)",5.431094774641806e-10
143,"Gold, Au 4.3E-4%, in ore, in ground","('natural resource', 'in ground')",8.048199452205491e-12
144,MSMA,"('soil', 'agricultural')",5.765556822498127e-13
145,Fluorine,"('air',)",1.9535067264994805e-12
146,Dicamba,"('air', 'non-urban air or from high stacks')",3.854014612068781e-14
147,Triadimenol,"('soil', 'agricultural')",5.095214710876891e-16
148,Aluminium,"('soil',)",3.9322146210080294e-07
149,"Transformation, from seabed, unspecified","('natural resource', 'land')",1.223011906603534e-06
150,Chromium,"('air', 'urban air close to ground')",6.42656443175476e-10
151,Propargite,"('soil', 'agricultural')",0.0
152,Clodinafop-propargyl,"('soil', 'agricultural')",1.0112294631218835e-15
153,Lead-210,"('air', 'non-urban air or from high stacks')",3.7573958345194105e-06
154,Zinc,"('air', 'low population density, long-term')",8.580247874348519e-10
155,Benzene,"('air', 'non-urban air or from high stacks')",7.219480034146558e-07
156,"Hydrogen-3, Tritium","('air', 'non-urban air or from high stacks')",0.0009696666122098549
157,Propene,"('air', 'non-urban air or from high stacks')",1.376927098956291e-09
158,Bromine,"('air',)",2.752133384297313e-10
159,Ozone,"('air',)",1.3913421457280973e-07
160,Chlorine,"('water', 'ground-')",9.464494781216796e-09
161,Acetaldehyde,"('water', 'surface water')",1.2027229498060208e-09
162,Methylamine,"('air',)",1.2541034757458022e-13
163,Toluene,"('water', 'surface water')",4.4227585425283094e-08
164,Sodium,"('air', 'low population density, long-term')",6.81207800409596e-09
165,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('soil',)",2.0928440488173006e-17
166,Tribenuron,"('soil', 'agricultural')",4.6919550587347306e-17
167,Helium,"('air',)",7.14847487101265e-11
168,Cobalt-60,"('water', 'surface water')",2.973387133871332e-06
169,Sodium,"('air', 'urban air close to ground')",2.572448814000413e-08
170,"Occupation, traffic area, rail/road embankment","('natural resource', 'land')",0.0003236487606176749
171,"Phosphorus, 18% in apatite, 4% in crude ore, in ground","('natural resource', 'in ground')",5.824482605057883e-07
172,4-Methyl-2-pentanone,"('air', 'urban air close to ground')",0.0
173,"Oils, non-fossil","('soil', 'industrial')",4.9492779266518835e-21
174,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('natural resource', 'in ground')",3.6444798092719327e-06
175,"Chloride, ion","('water',)",3.8612868313039774e-08
176,"Titanium, ion","('water', 'ground-')",7.303382847795713e-09
177,Nitrogen,"('water',)",1.5621899194780375e-11
178,"Benzene, hexachloro-","('air',)",2.5838392521865053e-11
179,Metolachlor,"('soil', 'agricultural')",1.6870225267857116e-10
180,"Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground","('natural resource', 'in ground')",4.9349816406791675e-12
181,Potassium,"('air', 'low population density, long-term')",1.5395269910854666e-08
182,Manganese,"('water', 'ocean')",1.4644457445085807e-09
183,Sulfuric acid,"('soil', 'agricultural')",1.2109077720185487e-14
184,Technetium-99m,"('water', 'surface water')",8.424512913273827e-08
185,"Particulates, > 2.5 um, and < 10um","('air', 'non-urban air or from high stacks')",1.9008534008508228e-05
186,Bifenox,"('soil', 'agricultural')",7.334146650725414e-16
187,Cumene,"('water',)",4.823782868402249e-08
188,Selenium,"('water', 'ocean')",5.050617960809496e-11
189,"Transformation, from forest, intensive","('natural resource', 'land')",9.009523792525994e-05
190,Monobutyltin,"('water', 'ocean')",9.311833872140621e-29
191,Thallium,"('air', 'urban air close to ground')",1.6092637062555207e-11
192,Arsine,"('air', 'urban air close to ground')",1.0886132400254045e-16
193,Hexazinone,"('soil', 'agricultural')",0.0
194,"Particulates, > 2.5 um, and < 10um","('air', 'low population density, long-term')",2.2324327266450397e-06
195,"Praseodymium, 0.42% in bastnasite, 0.042% in crude ore, in ground","('natural resource', 'in ground')",1.0739186984219397e-15
196,Uranium,"('air', 'non-urban air or from high stacks')",4.819893929907794e-14
197,Clopyralid,"('soil', 'agricultural')",1.319843153717541e-15
198,Barium,"('air', 'non-urban air or from high stacks')",3.5351948632957186e-09
199,"Methane, bromotrifluoro-, Halon 1301","('air', 'non-urban air or from high stacks')",3.982951587472282e-10
200,"Suspended solids, unspecified","('water', 'surface water')",1.2105356983244018e-06
201,Phosphorus,"('air',)",4.145994699314648e-12
202,Potassium,"('air', 'urban air close to ground')",1.4397895172394345e-07
203,Strontium,"('soil', 'agricultural')",1.9325712506993023e-11
204,"Particulates, < 2.5 um","('air', 'urban air close to ground')",2.5456228139990143e-06
205,Oxyfluorfen,"('soil', 'agricultural')",0.0
206,Polonium-210,"('water', 'ocean')",2.6970705272571326e-07
207,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",3.2781124880475507e-06
208,Magnesium,"('air', 'urban air close to ground')",4.1026601289188135e-08
209,"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('natural resource', 'in ground')",1.8298966490555935e-11
210,Ethylene glycol monoethyl ether,"('air', 'urban air close to ground')",0.0
211,"Methane, fossil","('air',)",3.1036016336992178e-06
212,Sodium chlorate,"('water', 'ground-')",1.324204181148443e-13
213,Clethodim,"('air', 'non-urban air or from high stacks')",3.40013569590783e-13
214,Fluoranthene,"('water', 'surface water')",2.008053291161228e-11
215,"Nickel, ion","('water',)",4.8333433012730736e-09
216,"Water, turbine use, unspecified natural origin","('natural resource', 'in water')",0.29690425805212156
217,Prothioconazol,"('air', 'non-urban air or from high stacks')",2.4381996526322233e-23
218,Phosphorus,"('air', 'non-urban air or from high stacks')",6.198866625041344e-11
219,Vanadium,"('soil',)",5.158970219726561e-10
220,Cumene,"('air', 'urban air close to ground')",4.136435301605798e-08
221,"Hydrogen-3, Tritium","('water', 'surface water')",0.02272470775023505
222,Imazaquin,"('soil', 'agricultural')",4.134852746224734e-15
223,Uranium alpha,"('air', 'non-urban air or from high stacks')",1.7426769659793455e-06
224,Permethrin,"('air', 'non-urban air or from high stacks')",6.346790018435728e-14
225,Pyraclostrobin,"('water', 'ground-')",6.348216798752335e-20
226,Antimony-124,"('air', 'non-urban air or from high stacks')",5.7719644005020894e-12
227,Selenium,"('air', 'lower stratosphere + upper troposphere')",1.7387623514513237e-18
228,Ammonia,"('air', 'urban air close to ground')",1.7829454708774914e-07
229,Acifluorfen,"('air', 'non-urban air or from high stacks')",6.881041562030149e-14
230,"Hydrocarbons, aromatic","('water', 'ocean')",1.3701065493241134e-08
231,"Sodium, ion","('water',)",8.673758950513722e-06
232,"Sodium, ion","('water', 'ocean')",7.964544977093181e-06
233,Ethylene oxide,"('water', 'surface water')",3.896978878100229e-11
234,Silicon,"('air', 'low population density, long-term')",1.9457455926713932e-08
235,"Dolomite, in ground","('natural resource', 'in ground')",1.2412573122111717e-05
236,"Particulates, > 10 um","('air', 'low population density, long-term')",3.7206664809487165e-06
237,Thallium,"('air',)",8.856758715440604e-10
238,"Calcium, ion","('water', 'ground-, long-term')",0.00046693972903193024
239,Ioxynil,"('soil', 'agricultural')",7.382555073359773e-15
240,Benzal chloride,"('water', 'surface water')",0.0
