,flow,category,amount
776,Propylamine,"('water', 'surface water')",2.6301958703114085e-14
777,Manganese,"('soil', 'agricultural')",2.448931374766517e-08
778,Carbon-14,"('water', 'surface water')",2.868431675174935e-07
779,Carbonate,"('water',)",2.5094223483106397e-12
780,"Chlorosilane, trimethyl-","('air', 'urban air close to ground')",3.501803789211297e-11
781,"Transformation, to permanent crop, irrigated, intensive","('natural resource', 'land')",2.3781516706507358e-23
782,Fluosilicic acid,"('water', 'surface water')",1.9479083018316418e-09
783,Zirconium-95,"('air', 'non-urban air or from high stacks')",1.7086919462449284e-10
784,Dicrotophos,"('soil', 'agricultural')",1.1300680808658654e-12
785,"Hydrocarbons, unspecified","('water', 'ocean')",1.3921241785601272e-08
786,Acetic acid,"('air', 'non-urban air or from high stacks')",6.5194202953185195e-09
787,"Ethene, tetrachloro-","('air',)",6.562607289945214e-14
788,Formaldehyde,"('air',)",5.308083807474956e-07
789,Phosphorus trichloride,"('water',)",0.0
790,Pyrene,"('air',)",1.5268316174217462e-13
791,"Transformation, from pasture, man made, extensive","('natural resource', 'land')",9.436091769745331e-15
792,Acetone,"('air',)",1.008897607536681e-09
793,Bromine,"('air', 'low population density, long-term')",5.869403134735727e-12
794,Tefluthrin,"('air', 'non-urban air or from high stacks')",6.381977633425766e-20
795,Beryllium,"('soil',)",2.3076127797090412e-11
796,Strontium-89,"('water', 'surface water')",6.249613097013897e-08
797,"Samarium, 0.3% in bastnasite, 0.03% in crude ore, in ground","('natural resource', 'in ground')",7.663336554817239e-16
798,Aluminium,"('air', 'low population density, long-term')",8.713918437575885e-08
799,Hydrogen chloride,"('air', 'urban air close to ground')",5.284602068916741e-07
800,Sulfur trioxide,"('air', 'urban air close to ground')",2.7269345589117194e-12
801,"Transformation, from annual crop, non-irrigated, intensive","('natural resource', 'land')",2.2519575219561873e-06
802,"TOC, Total Organic Carbon","('water',)",4.314621972063597e-07
803,Methomyl,"('air', 'non-urban air or from high stacks')",9.5502180347749e-22
804,Xylene,"('water', 'surface water')",3.6804152553080326e-08
805,Sulfate,"('air',)",1.206972803921903e-07
806,"Occupation, mineral extraction site","('natural resource', 'land')",0.00029288807195978654
807,"Heat, waste","('air', 'non-urban air or from high stacks')",4.841889025212317e-07
808,Imidacloprid,"('soil', 'agricultural')",6.611053346644229e-12
809,Thallium,"('air', 'low population density, long-term')",1.4201831985511817e-13
810,"Butylcarbamate, iodopropynyl","('air', 'non-urban air or from high stacks')",0.0
811,Chlorate,"('water', 'surface water')",3.2021583861512734e-08
812,"TOC, Total Organic Carbon","('water', 'surface water')",2.2071334127780642e-05
813,"DOC, Dissolved Organic Carbon","('water', 'ground-')",2.563740194181522e-07
814,Naphtalene,"('water', 'surface water')",1.4840469847422174e-12
815,Mepiquat chloride,"('soil', 'agricultural')",1.5249953463995075e-13
816,Acetone,"('water', 'surface water')",1.3471793288156264e-08
817,Urea,"('water',)",0.0
818,Strontium-90,"('water', 'surface water')",7.081340696235187e-05
819,Fenamiphos,"('soil', 'agricultural')",0.0
820,"Feldspar, in ground","('natural resource', 'in ground')",2.2280551442993857e-11
821,Methyl amine,"('air', 'urban air close to ground')",4.427528308486885e-14
822,Krypton-88,"('air', 'non-urban air or from high stacks')",1.6232489171773664e-05
823,Antimony,"('air', 'non-urban air or from high stacks')",2.906077054330722e-09
824,Chlorosulfonic acid,"('air',)",6.616302976176078e-16
825,"Perchlorate, ion","('water', 'surface water')",0.0
826,Phosgene,"('air',)",1.580744973561294e-11
827,Xenon-133,"('air', 'non-urban air or from high stacks')",0.002622590290490364
828,Butene,"('air',)",0.0
829,"Nickel, Ni 2.5E+0%, in mixed ore, in ground","('natural resource', 'in ground')",1.3756281347973472e-08
830,Lithium,"('water', 'ground-')",2.371769535582118e-11
831,Borate,"('water',)",9.791115520225719e-11
832,Clethodim,"('soil', 'agricultural')",1.7914193938453447e-13
833,Abamectin,"('soil', 'agricultural')",0.0
834,Nickel,"('air', 'lower stratosphere + upper troposphere')",1.2171197354987183e-17
835,Ethephon,"('water', 'ground-')",1.842516796947664e-23
836,Water,"('water', 'ocean')",1.5739439961758212e-06
837,"Lithium, ion","('water', 'surface water')",2.083310328903315e-12
838,Water,"('air', 'non-urban air or from high stacks')",4.528026936584966e-06
839,Thiodicarb,"('air', 'non-urban air or from high stacks')",2.4630060040998174e-14
840,Amine oxide,"('air',)",0.0
841,Cymoxanil,"('soil', 'agricultural')",0.0
842,"Ethene, chloro-","('air',)",3.035205873909576e-17
843,"Acrylate, ion","('water', 'surface water')",2.2101934628891776e-11
844,Lactofen,"('soil', 'agricultural')",4.164046814841369e-15
845,Cyclohexane (for all cycloalkanes),"('air', 'urban air close to ground')",4.354014320665543e-12
846,Arsenic,"('air',)",2.7384374932389044e-09
847,"Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground","('natural resource', 'in ground')",3.232147119010026e-10
848,"Talc, in ground","('natural resource', 'in ground')",3.2374867585357574e-08
849,Barite,"('water', 'ocean')",6.99568114099482e-07
850,"Vanadium, ion","('water',)",2.123043177589988e-11
851,Tin,"('soil', 'agricultural')",1.436404260340211e-12
852,Flurtamone,"('soil', 'agricultural')",2.639780234426811e-15
853,"AOX, Adsorbable Organic Halogen as Cl","('water', 'ocean')",5.421452274070424e-11
854,Methyl formate,"('water', 'surface water')",1.0207958016992286e-14
855,Cobalt,"('air', 'urban air close to ground')",6.47076829589027e-10
856,Pyraclostrobin (prop),"('soil', 'agricultural')",9.461307051501592e-15
857,"Carbon dioxide, from soil or biomass stock","('air',)",3.151266469642849e-06
858,Fresh water (obsolete),"('water', 'surface water')",3.687881489249927e-08
859,MCPB,"('water', 'surface water')",3.434587069868814e-21
860,Decanoic acid,"('water',)",0.0
861,Cobalt,"('water',)",1.731437740509894e-11
862,Xenon-131m,"('air', 'non-urban air or from high stacks')",6.501914074844802e-05
863,Iron,"('air', 'urban air close to ground')",4.851554660805465e-08
864,Sulfate,"('water', 'ocean')",1.1105019235487074e-06
865,Cobalt,"('air',)",2.427035482761036e-10
866,"Occupation, inland waterbody, unspecified","('natural resource', 'land')",4.7396324980502e-08
867,Calcium,"('air', 'low population density, long-term')",3.15699336180253e-08
868,Butanol,"('water',)",0.0
869,"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'urban air close to ground')",3.2549635848513687e-06
870,Methyl ethyl ketone,"('water', 'surface water')",0.0
871,Rimsulfuron,"('soil', 'agricultural')",2.668179882125434e-16
872,Hexane,"('air', 'non-urban air or from high stacks')",3.1201649863293857e-08
873,Fluorine,"('air', 'non-urban air or from high stacks')",3.0511736279644398e-09
874,"Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore, in ground","('natural resource', 'in ground')",2.2732946079218035e-13
875,Propane,"('air', 'urban air close to ground')",4.7303755533958904e-07
876,Metiram,"('soil', 'agricultural')",0.0
877,"Tin, ion","('water', 'ground-')",1.676283515905147e-10
878,Cloquintocet-mexyl,"('soil', 'agricultural')",2.442691539456882e-16
879,Pentane,"('air', 'non-urban air or from high stacks')",9.095744347197162e-08
880,Formic acid,"('air', 'non-urban air or from high stacks')",9.604477069656081e-10
881,Diphenylether-compound,"('water',)",0.0
882,"Ethene, tetrachloro-","('air', 'non-urban air or from high stacks')",2.1211392710117078e-11
883,Silicon,"('water', 'surface water')",5.775426986152709e-07
884,Trifloxystrobin,"('water', 'ground-')",7.408653877908845e-25
885,Acetaldehyde,"('air',)",2.750258165058776e-07
886,Magnesium,"('air', 'low population density, long-term')",1.0392552100142098e-08
887,"1,3-Dioxolan-2-one","('water',)",1.4504986793992605e-09
888,Plutonium-238,"('air', 'non-urban air or from high stacks')",9.486850575731041e-15
889,"Oils, unspecified","('water', 'ocean')",3.1246177889256095e-06
890,Formaldehyde,"('air', 'lower stratosphere + upper troposphere')",2.7385357919702855e-14
891,"NMVOC, non-methane volatile organic compounds, unspecified origin","('air',)",2.4014347917027474e-05
892,Barium,"('soil', 'agricultural')",5.979488283993774e-12
893,Ethylamine,"('water', 'surface water')",9.671848091049827e-14
894,"Tellurium, 0.5ppm in sulfide, Te 0.2ppm, Cu and Ag, in crude ore, in ground","('natural resource', 'in ground')",1.2052034142689111e-14
895,Ethyne,"('air', 'non-urban air or from high stacks')",4.6105599739454136e-11
896,Dimethyl malonate,"('air', 'urban air close to ground')",3.110250243389164e-14
897,Thorium-228,"('air',)",2.5761893086154844e-10
898,Pendimethalin,"('water', 'ground-')",1.2098682299567564e-19
899,Chromium,"('soil', 'agricultural')",2.499046416789933e-10
900,Strontium,"('water', 'ground-')",7.708956217140363e-08
901,Amidosulfuron,"('soil', 'agricultural')",8.214090266972848e-17
902,Flumetsulam,"('air', 'non-urban air or from high stacks')",1.1823596961973215e-14
903,Pentane,"('air',)",1.0455821140608562e-09
904,Sodium formate,"('air', 'urban air close to ground')",5.4052149252800275e-12
905,"Transformation, from annual crop, non-irrigated, extensive","('natural resource', 'land')",6.940654154802256e-09
906,"Transformation, to inland waterbody, unspecified","('natural resource', 'land')",4.739632328268657e-10
907,"Actinides, radioactive, unspecified","('water', 'ocean')",1.1295783847207885e-07
908,Boron,"('air',)",3.638462837522112e-11
909,Polychlorinated biphenyls,"('water',)",1.6549069694639298e-15
910,Ethephon,"('water', 'surface water')",1.1166037683099604e-25
911,Benzaldehyde,"('air', 'urban air close to ground')",1.1009016174192118e-11
912,"Hydrocarbons, aliphatic, alkanes, unspecified","('air', 'non-urban air or from high stacks')",1.5628383896838196e-08
913,"2,4-DB","('water', 'surface water')",3.1011315462140894e-24
914,Sulfentrazone,"('soil', 'agricultural')",6.010745484708953e-13
915,Hydrogen,"('air',)",2.151020013622931e-09
916,Triethylene glycol,"('water', 'ocean')",2.335333416005437e-10
917,Dimethyl hexanediol,"('water',)",0.0
918,Potassium,"('soil',)",3.400545690321718e-08
919,Calcium,"('soil', 'industrial')",9.409921735462926e-07
920,Pentane,"('water',)",0.0
921,"Methane, tetrafluoro-, R-14","('air', 'urban air close to ground')",7.874014322236606e-13
922,"Methane, bromochlorodifluoro-, Halon 1211","('air', 'non-urban air or from high stacks')",3.4487729068199396e-11
923,Fluoride,"('water', 'ground-, long-term')",9.253821613944907e-06
924,Cesium-134,"('air', 'non-urban air or from high stacks')",4.394345658480506e-11
925,Sulfur,"('water', 'surface water')",7.274176752030009e-08
926,"Potassium, ion","('water', 'surface water')",3.2443368766754355e-06
927,Fluazifop-p-butyl,"('air', 'non-urban air or from high stacks')",1.3477927176971064e-13
928,Sulfur,"('water',)",3.073364803702237e-09
929,Ozone,"('air', 'urban air close to ground')",2.353715639386069e-13
930,"Methane, dichloro-, HCC-30","('air', 'urban air close to ground')",1.556400547038707e-12
931,Lanthanum-140,"('water', 'surface water')",1.0692231777184977e-08
932,Copper,"('air', 'urban air close to ground')",2.014482925283239e-09
933,Dissolved solids,"('water', 'ocean')",1.411047113686631e-16
934,Bromine,"('soil',)",3.6367150231331363e-10
935,Terbufos,"('soil', 'agricultural')",6.036825009584203e-15
936,Cadmium,"('air', 'lower stratosphere + upper troposphere')",1.7387623514513237e-18
937,"Chlorides, unspecified","('water',)",1.9412656565427365e-07
938,"Benzene, ethyl-","('water', 'ocean')",4.75157229762958e-10
939,"Gypsum, in ground","('natural resource', 'in ground')",0.0024225096921763984
940,"Volume occupied, underground deposit","('natural resource', 'in ground')",1.177156912363016e-09
941,"Pumice, in ground","('natural resource', 'in ground')",0.0
942,Magnesium,"('water', 'surface water')",2.1873305299261207e-06
943,Diethyl ether,"('air', 'urban air close to ground')",1.5205759315575047e-17
944,Benzo(a)pyrene,"('air',)",1.0715218010806376e-10
945,"Nickel, ion","('water', 'ocean')",8.381400591615063e-11
946,Hexane,"('air', 'urban air close to ground')",2.4354302891565293e-07
947,2-Methyl-2-butene,"('air', 'urban air close to ground')",3.1366133933064675e-17
948,"Transformation, to annual crop, irrigated, extensive","('natural resource', 'land')",0.0
949,Selenium,"('water', 'ground-, long-term')",1.2032406711904706e-07
950,"Occupation, grassland, natural (non-use)","('natural resource', 'land')",3.205145581794729e-06
951,Pendimethalin,"('water', 'surface water')",2.0282733633769402e-22
952,Calcium,"('soil', 'agricultural')",3.512576663835642e-07
953,Ethyl acetate,"('air', 'urban air close to ground')",5.207126191775096e-09
954,Dissolved solids,"('water',)",3.4727273561036326e-05
955,m-Xylene,"('water', 'surface water')",3.330582149546368e-13
956,Ethephon,"('air', 'non-urban air or from high stacks')",2.7917507344838756e-22
957,Tin,"('air',)",2.4931012527311504e-08
958,Molybdenum,"('water', 'ground-, long-term')",1.5954181012350943e-07
959,Mercury,"('soil',)",8.34878005245525e-13
960,Phenol,"('air', 'non-urban air or from high stacks')",6.539780826658831e-09
961,"PAH, polycyclic aromatic hydrocarbons","('water',)",2.198744556887577e-11
962,"Tin, ion","('water', 'ocean')",2.3429775357944732e-28
963,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",3.111358010454084e-14
964,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",1.0168499950345166e-05
965,Flufenacet,"('air', 'non-urban air or from high stacks')",5.0534930338425534e-14
966,Sodium,"('soil', 'industrial')",4.6896869713841035e-07
967,Methyl acrylate,"('water', 'surface water')",2.0700064195050617e-10
968,Carbon disulfide,"('air',)",9.84391038773399e-17
969,Hydrogen chloride,"('air', 'non-urban air or from high stacks')",1.5657437981162332e-06
970,Scandium,"('air', 'urban air close to ground')",1.2793602560591706e-11
971,"Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore, in ground","('natural resource', 'in ground')",8.756174519240467e-13
972,Polychlorinated biphenyls,"('air', 'urban air close to ground')",1.9817015091489816e-11
973,Antimony,"('soil', 'industrial')",1.1244452292663514e-10
974,Myclobutanil,"('soil', 'agricultural')",0.0
975,Thiodicarb,"('soil', 'agricultural')",1.055852043570776e-15
976,"Transformation, from permanent crop, irrigated","('natural resource', 'land')",4.049762531564632e-08
977,Phosphorus trichloride,"('air', 'urban air close to ground')",4.753193106145898e-14
978,Boron,"('soil', 'agricultural')",1.8450649338340533e-12
979,"Sodium sulphate, various forms, in ground","('natural resource', 'in ground')",5.395705560447461e-08
980,Magnesium,"('soil', 'industrial')",2.2229523990199108e-07
981,Molybdenum,"('soil', 'agricultural')",5.122821703758726e-12
982,Barium,"('water', 'ground-, long-term')",5.351406723381102e-07
983,Lambda-cyhalothrin,"('air', 'non-urban air or from high stacks')",8.836363554994046e-24
984,"2,4-D","('soil', 'agricultural')",3.712052007402663e-10
985,Dimethomorph,"('soil', 'agricultural')",0.0
986,Lanthanum-140,"('air', 'non-urban air or from high stacks')",3.234726575012541e-10
987,Furan,"('air',)",6.44776155477428e-18
988,Sulfur,"('water', 'ocean')",1.8424839583390424e-10
989,"Phenol, pentachloro-","('soil',)",8.66510007240613e-14
990,"Suspended solids, unspecified","('water', 'ocean')",2.5128567542370974e-06
991,Propiconazole,"('water', 'ground-')",6.438359477773174e-22
992,Vanadium,"('air', 'low population density, long-term')",7.390587215882257e-10
993,Anthraquinone,"('soil', 'agricultural')",1.09963035844123e-15
994,Acenaphthene,"('air', 'non-urban air or from high stacks')",2.7900321097294473e-13
995,Imazapyr,"('soil', 'agricultural')",1.06724977316774e-17
996,Copper,"('air', 'non-urban air or from high stacks')",7.113529688686874e-08
997,Sodium dichromate,"('air', 'urban air close to ground')",1.112758548856269e-12
998,Water,"('water',)",0.29849807743991125
999,Selenium,"('water', 'surface water')",1.4948413318886795e-09
1000,Barium,"('water',)",1.065068322252778e-07
1001,Cloransulam-methyl,"('soil', 'agricultural')",5.092254981555487e-14
1002,Tin,"('soil', 'industrial')",2.0177148535486295e-10
1003,"Barite, 15% in crude ore, in ground","('natural resource', 'in ground')",3.353460945231185e-05
1004,Antimony,"('water', 'ground-, long-term')",6.46383159717497e-08
1005,Carfentrazone ethyl ester,"('soil', 'agricultural')",1.505308378973787e-17
1006,Iron,"('soil', 'industrial')",4.601693584883978e-07
1007,Acenaphthylene,"('air',)",1.1888437101900886e-12
1008,"Transformation, from permanent crop, irrigated, intensive","('natural resource', 'land')",2.3781516706507358e-23
1009,Formamide,"('water', 'surface water')",6.122297690556429e-14
1010,Scandium,"('water', 'surface water')",1.7100879081913198e-09
1011,Sodium tetrahydridoborate,"('air', 'urban air close to ground')",2.3667338622821843e-15
1012,Chlorine,"('air', 'urban air close to ground')",3.8936256641537865e-08
1013,Zinc,"('air',)",1.1848013440305068e-07
1014,"Cinnabar, in ground","('natural resource', 'in ground')",8.478443882634727e-12
1015,Strontium,"('water', 'ocean')",3.9373463768692647e-08
1016,Lead-210,"('air',)",6.2519176206355214e-09
1017,"Occupation, pasture, man made","('natural resource', 'land')",0.0
1018,Propionic acid,"('air', 'urban air close to ground')",1.35996316463004e-10
1019,Azoxystrobin,"('air', 'non-urban air or from high stacks')",2.27713715177706e-13
1020,Strontium,"('water', 'ground-, long-term')",5.995896337566659e-06
1021,Vanadium,"('soil', 'industrial')",1.2292907981123689e-08
1022,Acetic acid,"('water', 'surface water')",2.2929143336646547e-09
1023,Cyanoacetic acid,"('air', 'urban air close to ground')",2.4802568476805338e-14
1024,Nickel,"('air', 'urban air close to ground')",6.674669728758866e-09
1025,"Ammonium, ion","('water', 'ground-')",3.072047977102459e-08
1026,"Vanadium, ion","('water', 'ground-')",4.4198664795114787e-10
1027,Metalaxyl-M,"('soil', 'agricultural')",0.0
1028,Manganese,"('water', 'ground-, long-term')",2.2254253732880102e-05
1029,Boron,"('air', 'low population density, long-term')",1.6112030638185192e-10
1030,Nitrogen,"('water', 'ocean')",6.769233475195109e-11
1031,Pyrene,"('water', 'surface water')",1.5127334189824815e-11
1032,Furan,"('air', 'non-urban air or from high stacks')",4.191047036620406e-09
1033,"1,4-Butanediol","('air', 'urban air close to ground')",1.8037758371789028e-13
1034,Cesium,"('water', 'surface water')",3.891927620576187e-10
1035,Allyl chloride,"('water',)",1.7190213522466883e-13
1036,Bromuconazole,"('soil', 'agricultural')",4.956838399983315e-17
1037,"Energy, kinetic (in wind), converted","('natural resource', 'in air')",0.003282920498149949
1038,"Water, unspecified natural origin","('natural resource', 'in water')",0.00152988131492041
1039,Benzo(b)fluoranthene,"('air',)",2.7156619830119723e-14
1040,Thallium,"('water', 'ground-')",1.8639691774628557e-11
1041,"2,4-DB","('soil', 'agricultural')",2.8174707645548986e-20
1042,Hydrochloric acid,"('air',)",1.480469782629199e-14
1043,Mancozeb,"('soil', 'agricultural')",1.6952413303207654e-10
1044,"COD, Chemical Oxygen Demand","('water', 'ground-')",2.8093273167653577e-07
1045,Phenanthrene,"('water', 'surface water')",1.665728081255186e-11
1046,Silicon tetrafluoride,"('air', 'non-urban air or from high stacks')",2.832594390435988e-12
1047,Zinc,"('soil', 'industrial')",1.2461731483362506e-08
1048,Orbencarb,"('soil', 'agricultural')",3.223347952487132e-11
1049,Aluminium,"('air',)",3.863627584685584e-06
1050,"Fish, demersal, in ocean","('natural resource', 'in water')",0.0
1051,Sulfuric acid,"('air', 'non-urban air or from high stacks')",2.4648756735852074e-09
1052,"Transformation, from annual crop, non-irrigated","('natural resource', 'land')",1.837892861943531e-08
1053,Protactinium-234,"('water', 'surface water')",7.33307674943355e-07
1054,MCPA,"('soil', 'agricultural')",2.5629004854235626e-14
1055,Silicon,"('air', 'urban air close to ground')",1.652705091010717e-07
1056,"Magnesite, 60% in crude ore, in ground","('natural resource', 'in ground')",6.309122814604194e-05
1057,Silver,"('soil', 'agricultural')",1.8001474430688557e-18
1058,Mercury,"('water', 'surface water')",6.543280625855627e-11
1059,Anthracene,"('air',)",9.092570251919333e-20
1060,Sulfur dioxide,"('air',)",3.3929262767451495e-05
1061,"Clay, unspecified, in ground","('natural resource', 'in ground')",0.0088778544416066
1062,Hydrogen fluoride,"('air', 'non-urban air or from high stacks')",2.016429497353976e-07
1063,Sulfate,"('water', 'ground-')",0.00012226580689097746
1064,"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('natural resource', 'in ground')",3.0795151923053035e-05
1065,"Arsenic, ion","('water', 'surface water')",2.43073593979041e-08
1066,"Carbon dioxide, to soil or biomass stock","('soil',)",9.46081052238113e-08
1067,"Carbon, organic, in soil or biomass stock","('natural resource', 'in ground')",2.203742946286195e-06
1068,Chromium VI,"('water', 'ground-')",1.6035262745364378e-09
1069,Sulfur,"('soil', 'industrial')",1.5994463026980718e-07
1070,Cesium-137,"('air', 'non-urban air or from high stacks')",7.819866266122064e-10
1071,Iodine-133,"('water', 'surface water')",6.353585051370505e-09
1072,"Titanium, ion","('water', 'surface water')",3.00990480528745e-09
1073,Fluosilicic acid,"('water',)",8.329686746452413e-11
1074,Acetonitrile,"('air', 'non-urban air or from high stacks')",1.5716416906010741e-10
1075,Bentazone,"('water', 'ground-')",4.401205823228307e-15
1076,Styrene,"('air', 'non-urban air or from high stacks')",6.585245695747109e-09
1077,Krypton-85m,"('air', 'non-urban air or from high stacks')",5.8918304002205835e-05
1078,Elemental carbon,"('water',)",0.0
1079,Hydrochloric acid,"('water',)",1.893198330848732e-08
1080,"Transformation, to dump site, sanitary landfill","('natural resource', 'land')",1.5931818631306482e-08
1081,Polychlorinated biphenyls,"('air', 'non-urban air or from high stacks')",1.388319881074515e-12
1082,"Methane, non-fossil","('air', 'urban air close to ground')",1.0622811101334776e-06
1083,Hydrogen carbonate,"('water', 'ocean')",1.4348788471193712e-08
1084,Benzene,"('air',)",7.9536621447503e-08
1085,Bromine,"('soil', 'industrial')",1.3545025024391102e-10
1086,Hydroxide,"('water',)",2.8621892606795217e-13
1087,Aluminium,"('water', 'ground-, long-term')",5.770330569262003e-05
1088,MCPA,"('water', 'ground-')",4.5676734772164403e-23
1089,2-Propanol,"('air', 'non-urban air or from high stacks')",1.5510042162582603e-13
1090,Silver-110,"('water', 'surface water')",2.70848153248852e-06
1091,"Radioactive species, Nuclides, unspecified","('water', 'ocean')",6.753351105196357e-05
1092,Tungsten,"('air', 'low population density, long-term')",3.500373568108873e-11
1093,"Sulfate, ion","('water', 'ground-')",4.562834792306844e-08
1094,Dimethachlor,"('soil', 'agricultural')",6.805229674788589e-14
1095,Barium,"('air', 'urban air close to ground')",1.5116991259041202e-09
1096,"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",2.96828304804105e-07
1097,Dicamba,"('water', 'surface water')",3.6402854360062046e-21
1098,Silicon,"('air',)",2.256622350963042e-07
1099,"Occupation, lake, artificial","('natural resource', 'land')",0.00011832635839819612
1100,"Zinc, ion","('water', 'ground-')",1.4823657625637694e-07
1101,Heptane,"('air', 'urban air close to ground')",1.0851540392103956e-07
1102,Molybdenum,"('water',)",1.7954738961878605e-11
1103,"Particulates, < 2.5 um","('air', 'low population density, long-term')",1.4886660255861393e-06
1104,Chlorfenvinphos,"('soil', 'agricultural')",0.0
1105,Triethylene glycol,"('water', 'surface water')",1.7686544813614146e-12
1106,Lactic acid,"('air', 'urban air close to ground')",5.451729878673643e-14
1107,Titanium,"('soil',)",2.864792751045135e-08
1108,"Hydrocarbons, unspecified","('air', 'non-urban air or from high stacks')",1.9565205030887756e-10
1109,"Krypton, in air","('natural resource', 'in air')",7.911336586671244e-18
1110,Calcium,"('air', 'non-urban air or from high stacks')",3.560989541626215e-09
1111,Carbetamide,"('soil', 'agricultural')",3.427235345261159e-15
1112,Hexaconazole,"('soil', 'agricultural')",0.0
1113,Cobalt,"('soil', 'industrial')",7.733805073628455e-11
1114,"Sulfur, in ground","('natural resource', 'in ground')",2.412474387305425e-08
1115,"Ethane, 1,1,1-trichloro-, HCFC-140","('water', 'surface water')",3.0448304538834075e-21
1116,Cyproconazole,"('soil', 'agricultural')",1.6208114583257572e-15
1117,"Transformation, to permanent crop","('natural resource', 'land')",3.4456086007278856e-07
1118,Nitrate,"('air', 'low population density, long-term')",3.852426519088359e-08
1119,"Water, unspecified natural origin","('natural resource', 'in ground')",5.030156496948606e-08
1120,Lambda-cyhalothrin,"('soil', 'agricultural')",5.1683278586536615e-14
1121,Carbaryl,"('soil', 'agricultural')",3.97454020011679e-15
1122,"Ammonium, ion","('water', 'ground-, long-term')",5.863936071966968e-07
1123,Methomyl,"('water', 'ground-')",1.4725665203107582e-23
1124,Chlormequat,"('soil', 'agricultural')",9.322057650237477e-14
1125,"Transformation, to shrub land, sclerophyllous","('natural resource', 'land')",1.0575704203102823e-06
1126,"Cadmium, ion","('water', 'ground-, long-term')",1.201014961321854e-07
1127,"Arsenic, ion","('water', 'ocean')",1.1346473367570501e-10
1128,Atrazine,"('water', 'surface water')",3.3213936334578417e-20
1129,Phosphorus oxychloride,"('water',)",0.0
1130,Pendimethalin,"('air', 'non-urban air or from high stacks')",4.271093244140647e-12
1131,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'urban air close to ground')",6.316116008997081e-15
1132,Bentazone,"('air', 'non-urban air or from high stacks')",2.1111529997302527e-13
1133,Lead,"('air', 'urban air close to ground')",2.1355189423764088e-09
1134,"Potassium, ion","('water', 'ground-, long-term')",0.00014145802016111978
1135,"Particulates, > 10 um","('air',)",2.041923788391795e-05
1136,Furathiocarb,"('soil', 'agricultural')",0.0
1137,Sulfate,"('air', 'low population density, long-term')",8.345509244211712e-08
1138,Iodide,"('soil', 'industrial')",6.619486734562984e-15
1139,Dissolved solids,"('water', 'ground-')",1.0358832048905723e-06
1140,Fluoride,"('soil', 'industrial')",1.5462802530103414e-08
1141,Molinate,"('soil', 'agricultural')",9.701794356401074e-14
1142,Dichlorprop,"('air', 'non-urban air or from high stacks')",6.218825756405726e-22
1143,Boron,"('water', 'ocean')",1.7999199060218049e-09
1144,Xenon-133m,"('air', 'non-urban air or from high stacks')",2.4844894270279135e-06
1145,Propiconazole,"('air', 'non-urban air or from high stacks')",7.453244985743019e-14
1146,Chlorine,"('air', 'low population density, long-term')",1.0737632859804089e-09
1147,Carbon,"('soil', 'agricultural')",8.03969178873032e-08
1148,Thorium-230,"('air', 'non-urban air or from high stacks')",1.6385248055180716e-07
1149,Phosphine,"('air', 'urban air close to ground')",1.6396092724052478e-14
1150,"Occupation, pasture, man made, extensive","('natural resource', 'land')",4.71797523461849e-13
1151,"Perlite, in ground","('natural resource', 'in ground')",1.9714201657954913e-09
1152,Cyclohexane,"('water', 'surface water')",0.0
1153,Iron,"('soil',)",1.692869318428492e-06
1154,"Transformation, from grassland, natural (non-use)","('natural resource', 'land')",3.2362556595192115e-09
1155,"Heat, waste","('air', 'urban air close to ground')",0.005277105306535262
1156,Calcium,"('air', 'urban air close to ground')",5.4433278458984785e-08
1157,Kaolin,"('soil', 'agricultural')",0.0
1158,Silicon,"('water', 'ground-, long-term')",0.0003879505447286397
1159,Butene,"('air', 'urban air close to ground')",1.085078133548432e-08
1160,Carbon-14,"('air', 'non-urban air or from high stacks')",0.00037463848134000274
1161,"2,4-di-tert-butylphenol","('water',)",0.0
1162,Elemental carbon,"('air', 'urban air close to ground')",6.71073660183697e-11
1163,Manganese,"('air', 'low population density, long-term')",2.396454768843493e-09
1164,Pyraclostrobin,"('air', 'non-urban air or from high stacks')",1.7555855427460958e-13
1165,Mercury,"('air', 'lower stratosphere + upper troposphere')",1.2171198118408026e-20
1166,Sulfur dioxide,"('air', 'lower stratosphere + upper troposphere')",1.738762348683996e-13
1167,Acephate,"('soil', 'agricultural')",6.176795342025404e-12
1168,"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",9.366838923953825e-11
1169,Lead,"('water', 'ocean')",1.1516053318471315e-09
